語言	條目	字元數	發現路徑
en	Pumpkinhead II: Blood Wings	10694	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Anna Maria Sterck	10688	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
de	Schildmaid	10683	Kategorie:Sagengestalt > Fabelwesen > Weibliches Fabelwesen
sv	Ragnill Jens Svenses	10678	Kategori:Häxprocesser > Personer som blivit avrättade för häxeri > Personer som blivit avrättade för häxeri i Sverige
en	Louviers possessions	10675	Category:European witchcraft > Witches' Sabbath
es	Johannes Junius	10673	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
ja	シビュラ (パルマ・イル・ヴェッキオ)	10672	Category:シャーマニズム > シビュラ
en	The Blue Light (fairy tale)	10662	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
de	Aforgomons Kette	10656	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
en	Xyzzy (computing)	10656	Category:Witchcraft > Incantation > Magic words
de	Timetrip – Der Fluch der Wikinger-Hexe	10654	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	The Fenstanton Witch	10652	Category:Witchcraft > Fiction about witchcraft
en	Witchcraft Suppression Act, 1957	10646	Category:Witchcraft > African witchcraft
ja	ハロウィーンタウン4 ウィッチ大学へようこそ	10636	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした映画作品
de	Totenbeschwörerin von Endor	10635	Kategorie:Hexerei > Hexe
de	Kobold	10630	Kategorie:Sagengestalt > Deutsche Sagengestalt
en	Hertford Castle	10625	Category:Witch trials > People accused of witchcraft > Elizabeth Woodville
fr	Theoris de Lemnos	10624	Catégorie:Sorcellerie > Sorcellerie féminine > Sorcière
en	Brand New Cherry Flavor	10619	Category:Witchcraft > Curses > Fiction about curses
de	Kikis kleiner Lieferservice (Roman)	10615	Kategorie:Hexerei > Hexe > Fiktive Hexe
zh	神功戲 (香港)	10613	Category:中國民間信仰 > 香港民間信仰
fr	Abigail Williams (1681-1697)	10611	Catégorie:Sorcellerie > Sorcellerie féminine > Procès des sorcières de Salem
de	Drache von Henham	10609	Kategorie:Sagengestalt > Fabelwesen > Drache
en	Curse of Rocky Colavito	10609	Category:Witchcraft > Curses > Sports-related curses
de	Die Teufel von Loudun	10605	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
de	Maria Schnökel	10596	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
en	The Prince and the Evening Star	10594	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Geillis Duncan	10594	Category:People executed for witchcraft > Scottish people executed for witchcraft
zh	鯉躍龍門	10594	Category:中國民間信仰 > 黄河神话与信仰
ja	動物霊	10588	Category:シャーマニズム
es	Catherine Quicquat	10587	Categoría:Brujería > Procesos por brujería
es	Katherine Harrison	10586	Categoría:Brujería > Brujas (brujería) > Personas acusadas de brujería
en	Dybbuk box	10585	Category:Witchcraft > Curses > Demonic possession
en	Monster Brawl	10585	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
it	Kebo Iwa	10585	Categoria:Stregoneria
de	Nornen	10580	Kategorie:Sagengestalt > Fabelwesen > Weibliches Fabelwesen
en	Hexwood	10572	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
de	Karl Meier (Autor)	10571	Kategorie:Hexenverfolgung > Sachliteratur (Hexenverfolgung)
en	Witches Are In Their Prime In Their Three-Hundreds	10570	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	Imaginationland Episode III	10565	Category:Witchcraft > Fiction about witchcraft > Television shows about witchcraft
it	Mago di Oz	10565	Categoria:Stregoneria > Stregoni immaginari
de	Prista Frühbottin	10564	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
ja	三元九運	10563	Category:呪術 > 陰陽道
fr	Maria Renata Singer von Mossau	10560	Catégorie:Sorcellerie > Procès de sorcellerie > Personnalité condamnée pour sorcellerie
es	Regina Betancourt de Liska	10559	Categoría:Brujería > Brujería en América
fr	Amandine Malabul (série télévisée)	10559	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
es	Merlín y familia	10553	Categoría:Brujería > Brujería en la ficción > Obras literarias modernas de la materia de Bretaña
en	Chamatkar	10552	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Kopf der Rosmerta	10548	Kategorie:Sagengestalt > Keltische Sagengestalt > Keltische Gottheit
en	Witchboard 2: The Devil's Doorway	10544	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Wonderwell	10541	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Witch trials in the Channel Islands	10534	Category:Witch trials > Witch trials in Europe > Witch trials in England
de	Morgan le Fay	10533	Kategorie:Sagengestalt > Fabelwesen > Weibliches Fabelwesen
de	Edith Rose Woodford-Grimes	10530	Kategorie:Hexerei > Hexe
de	Jasmin’s Witch	10526	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur > Hexenverfolgung in der Literatur
it	Morrigan (Dragon Age)	10522	Categoria:Stregoneria > Streghe nelle opere di fantasia
es	Doña Bárbara (personaje)	10519	Categoría:Brujería > Brujos ficticios
en	Thomas Maule (Quaker)	10518	Category:Witchcraft > Witch hunting > Critics of witch hunting
en	Blood curse	10517	Category:Witchcraft > Curses
zh	骆宾王	10515	Category:中國民間信仰 > 中国人物神
ja	ドゥクン	10514	Category:呪術
en	Avoidance speech	10511	Category:Witchcraft > Curses > Taboo
en	Margery Jourdemayne	10510	Category:Witch trials > Witch trials in Europe > Witch trials in England
ja	化猫遊女	10506	Category:日本の妖怪
en	Summis desiderantes affectibus	10505	Category:European witchcraft
zh	黄道周	10504	Category:中國民間信仰 > 中国人物神
ja	魔女は三百路から	10503	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
ja	陰陽五行思想	10503	Category:呪術 > 陰陽道
en	Prince Ring	10499	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
ja	阿用郷の鬼	10495	Category:日本の妖怪 > 鬼
zh	泗洲文佛	10495	Category:中國民間信仰 > 中国人物神
de	Heimdall	10493	Kategorie:Sagengestalt > Germanische Sagengestalt
en	Anton Praetorius	10493	Category:European witchcraft > Witchcraft in Germany
fr	John Constantine	10486	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
it	Quan Chi	10486	Categoria:Stregoneria > Stregoni immaginari
de	Taran und der Zauberkessel	10485	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
ja	ターボばあちゃん	10485	Category:日本の妖怪 > 日本の都市伝説の妖怪
ko	삼성사	10473	분류:무속 > 무속 건축물
de	Maria Schweidler, die Bernsteinhexe	10471	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur > Hexenverfolgung in der Literatur
es	Dark Angel (cómic)	10465	Categoría:Brujería > Brujos ficticios
en	Agnes Waterhouse	10464	Category:Witch trials > Witch trials in Europe > Witch trials in England
en	Torsåker witch trials	10458	Category:Witch trials > Witch trials in Europe > Witch trials in Sweden
fr	Xandrianisme	10453	Catégorie:Sorcellerie > Organisation qui s'intéresse à la magie
en	Yama-uba	10446	Category:Witchcraft > Witchcraft in folklore and mythology
en	Geas	10445	Category:Witchcraft > Curses > Taboo
en	The Quarrel of Oberon and Titania	10444	Category:European witchcraft > Imps
en	Eyeballs as food	10441	Category:Witchcraft > Curses > Taboo
en	Mykhailo Nechay	10440	Category:European witchcraft > Witchcraft in Ukraine
en	The Witch of Blackbird Pond	10434	Category:Witchcraft > Fiction about witchcraft > Witch hunting in fiction
es	Ordalía del agua	10430	Categoría:Brujería > Ordalía
ja	エリファス・レヴィ	10429	Category:呪術 > 魔術師
de	Pierre de Lancre	10428	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
en	Tamara (2005 film)	10428	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Helena Scheuberin	10425	Catégorie:Sorcellerie > Personne persécutée pour sorcellerie
de	Rhenus (Personifikation)	10424	Kategorie:Sagengestalt > Keltische Sagengestalt > Keltische Gottheit
fr	La Sorcière sanglante	10419	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Bramble: The Mountain King	10418	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
de	Freya	10416	Kategorie:Sagengestalt > Germanische Sagengestalt > Walküre
en	Pac-Man 2: The New Adventures	10414	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
ja	大将軍神社 (京都市北区)	10414	Category:呪術 > 陰陽道
es	Harry Potter y los métodos de la racionalidad	10411	Categoría:Brujería > Brujería en la ficción > Harry Potter
es	Adam (víctima)	10410	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
sv	Gunnil från Visingsö	10409	Kategori:Häxprocesser > Häxprocesser i Europa > Häxprocesser i Sverige
de	Magnus Garbe	10408	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
de	Kai Lehmann	10407	Kategorie:Hexenverfolgung > Sachliteratur (Hexenverfolgung)
en	Medea (The Icemark Chronicles)	10407	Category:Witchcraft > Fiction about witchcraft > Works about Medea
fr	Procès des sorcières de Torsåker	10403	Catégorie:Sorcellerie > Sorcellerie par lieu > Sorcellerie en Suède
en	Kollyra curse tablet	10402	Category:Witchcraft > Curses > Curse tablets
ko	독말풀속	10402	분류:샤머니즘 > 의식용 환각제
es	Teórida de Lemnos	10400	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
en	The Ill-Made Knight	10387	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
en	Martha Corey	10387	Category:People executed for witchcraft > American people executed for witchcraft > People executed in the Salem witch trials
en	Clara Germana Cele	10386	Category:Witchcraft > Curses > Demonic possession
en	Trick or Treat (1952 film)	10386	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Anna Schulten	10384	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
en	Epic Pooh	10384	Category:Witchcraft > Fiction about witchcraft > Middle-earth
en	Winner's curse	10378	Category:Witchcraft > Curses
de	Bibi & Tina: Mädchen gegen Jungs	10377	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
de	Kaspar von Hohenems	10371	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
en	Thane of East County	10367	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
zh	孙思邈	10363	Category:中國民間信仰 > 中国人物神
fr	L'Heure de la peur	10350	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	Blood Curse (miniseries)	10343	Category:Witchcraft > Curses > Fiction about curses
es	Margaret Scott (Juicios de Salem)	10343	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
ja	コララインとボタンの魔女	10342	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした小説
de	Der Graf von Gleichen (Sage)	10339	Kategorie:Sagengestalt > Deutsche Sagengestalt
ja	ペルシアの巫女 (ミケランジェロ)	10337	Category:シャーマニズム > シビュラ
de	Simsalabim Sabrina	10336	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
de	New Forest Coven	10335	Kategorie:Hexerei
en	Ceridwen	10335	Category:Witchcraft > Witchcraft in folklore and mythology > Witches in folklore
en	Dietrich Flade	10332	Category:People executed for witchcraft > German people executed for witchcraft
zh	擲筊	10332	Category:中國民間信仰
ja	勘解由小路家 (日野流)	10330	Category:陰陽道 > 陰陽師
zh	汤和信仰	10330	Category:中國民間信仰
en	Owen Davies (historian)	10329	Category:Witchcraft > Historians of witchcraft
ja	猿神	10326	Category:シャーマニズム > 憑き物
it	Lorelei (asgardiana)	10325	Categoria:Stregoneria > Streghe nelle opere di fantasia
es	Benedict Daswa	10323	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
de	In the Lost Lands	10321	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
de	Mara – Die rechte Hand des Teufels	10320	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Grafton Regis	10320	Category:Witch trials > People accused of witchcraft > Elizabeth Woodville
en	Bute witches	10311	Category:People executed for witchcraft > Scottish people executed for witchcraft
es	Nicnevin	10310	Categoría:Brujería > Brujas (brujería)
en	Ibis (Ovid)	10302	Category:Witchcraft > Curses
ja	井上内親王	10301	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
de	Johann Gottfried von Aschhausen	10292	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
en	Vaa Arugil Vaa	10291	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Ann Hibbins	10290	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
ja	新田義興	10290	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
fr	Marabout (Afrique subsaharienne)	10284	Catégorie:Sorcellerie > Sorcellerie par lieu > Sorcellerie en Afrique
ja	貧乏神	10281	Category:日本の妖怪
ja	陰陽寮	10278	Category:陰陽道 > 陰陽寮
ja	道満	10276	Category:呪術
de	Catherine Monvoisin	10273	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
de	Hex (Fernsehserie)	10272	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	The Cursed Prince's Servant	10266	Category:Witchcraft > Curses > Fiction about curses
de	Die bleichen Berge	10265	Kategorie:Sagengestalt
de	Gertrud Svensdotter	10263	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
de	Tanngnjostr und Tanngrisnir	10262	Kategorie:Sagengestalt > Germanische Sagengestalt
en	Women of Colchis	10257	Category:Witchcraft > Fiction about witchcraft > Works about Medea
en	Curse of the ninth	10251	Category:Witchcraft > Curses
en	Towers: Lord Baniff's Deceit	10250	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
fr	Johannes Nider	10230	Catégorie:Sorcellerie > Étude de la sorcellerie > Auteur de traité sur la sorcellerie
it	Abdul Alhazred	10225	Categoria:Stregoneria > Stregoni immaginari
de	Zsuzsanna Budapest	10224	Kategorie:Hexerei > Hexe
en	Severus Snape and the Marauders	10222	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Das Mädchen auf dem Besenstiel	10217	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
ja	八瀬童子	10217	Category:日本の妖怪 > 鬼
en	Gale: Yellow Brick Road	10211	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
it	Dormammu	10211	Categoria:Stregoneria > Stregoni immaginari
zh	祠山王	10211	Category:中國民間信仰 > 中国民间信仰神祇
en	The Crystal Cave	10209	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
en	Mora witch trial	10207	Category:Witch trials > Witch trials in Europe > Witch trials in Sweden
fr	Castlevania (série d'animation)	10202	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
es	Gerard de Ruán	10198	Categoría:Brujería
ja	霊言	10185	Category:シャーマニズム > 霊媒師
en	Dayan (witch)	10183	Category:Witchcraft > Asian witchcraft
fr	Witchboard (film, 2024)	10183	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
it	Tituba	10168	Categoria:Stregoneria > Processi per stregoneria
en	Tattarisuo case	10163	Category:European witchcraft > Witchcraft in Finland
es	Caza de brujas en Cataluña	10156	Categoría:Brujería > Procesos por brujería > Juicios por brujería en España
de	Ulrich Molitor	10153	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
en	The Anguished Man	10151	Category:Witchcraft > Curses
fr	The Discoverie of Witchcraft	10151	Catégorie:Sorcellerie > Étude de la sorcellerie
de	Der letzte Tempelritter	10147	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
de	Räuber Vieting	10144	Kategorie:Sagengestalt > Deutsche Sagengestalt
zh	無生老母	10136	Category:中國民間信仰 > 無生老母崇拜
de	Hartger Henot	10129	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
de	Internationaler Tag gegen Hexenwahn	10127	Kategorie:Hexerei > Moderne Hexenverfolgung
ja	ひょうすべ	10118	Category:日本の妖怪 > 河童
fr	Moi, Tituba, sorcière noire de Salem	10115	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture
zh	灌嬰	10110	Category:中國民間信仰 > 中国人物神
en	Kronk's New Groove	10108	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Witchy Woman	10108	Category:Witchcraft > Fiction about witchcraft > Songs about witches
ja	白魔女学園	10094	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした映画作品
en	Freedom of religion in Angola	10093	Category:Witchcraft > African witchcraft
en	The Initiation of Sarah (2006 film)	10093	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Petronilla de Meath	10093	Category:People executed for witchcraft
es	Practical Magic	10092	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
de	Irische Hochkönige	10086	Kategorie:Sagengestalt > Mythischer Herrscher > Legendenhafter Hochkönig Irlands
en	The Dragon Lord (Drake novel)	10086	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
de	Hexe Lilli (Fernsehserie)	10081	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Witchcraft (1964 film)	10081	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Regent Diamond	10078	Category:Witchcraft > Curses
en	Curse of the Black Sox	10076	Category:Witchcraft > Curses > Sports-related curses
ja	ウィッチクエスト	10075	Category:魔女 > 魔女を題材とした作品
en	Princess Jasnenka and the Flying Shoemaker	10074	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Marie Lamont	10073	Category:People executed for witchcraft > Scottish people executed for witchcraft
zh	圓玄學院	10073	Category:中國民間信仰 > 三教
ja	付喪神	10072	Category:日本の妖怪 > 付喪神
de	Sennentuntschi	10070	Kategorie:Sagengestalt > Deutsche Sagengestalt
en	Toy Pop	10069	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
fr	La Chapelle du diable	10069	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Even Though I Knew the End	10067	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
de	Bricket Wood Coven	10060	Kategorie:Hexerei
fr	L'Enchanteur (Barjavel)	10060	Catégorie:Sorcellerie > Magicien ou sorcier de légende > Merlin
es	Caso Tattarisuo	10055	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
en	Mary (2019 film)	10044	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
it	Regina delle Fiabe	10044	Categoria:Stregoneria > Streghe nelle opere di fantasia
en	Friedrich Hoffmann	10042	Category:European witchcraft > Witchcraft in Germany
fr	Complainte des landes perdues	10034	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Sorcellerie dans la bande dessinée
de	Striges	10031	Kategorie:Sagengestalt > Fabelwesen > Blutsauger
de	Korant	10028	Kategorie:Sagengestalt > Slawische Sagengestalt
en	Little Witch Nobeta	10022	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
sv	Häxprocessen i Södra Ny	10016	Kategori:Häxprocesser > Häxprocesser i Europa > Häxprocesser i Sverige
en	Blockula	10006	Category:European witchcraft > Witchcraft in Sweden
en	Islandmagee witch trial	9996	Category:Witch trials > Witch trials in Europe > Witch trials in Ireland
es	Anexo:Personas de los Juicios de Salem	9995	Categoría:Brujería > Procesos por brujería > Juicios por brujería de Salem
en	Master Mahan	9989	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
en	Malaun	9988	Category:Witchcraft > Curses
de	Hagazussa – Der Hexenfluch	9977	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
de	A Discovery of Witches (Fernsehserie)	9975	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
ja	尾張萬歳	9974	Category:呪術 > 陰陽道
de	Hexensabbat (Hans Baldung)	9971	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
ja	藁人形	9967	Category:呪術
en	Grimm's Snow White	9966	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	百鬼夜行	9964	Category:日本の妖怪
en	Little Witch Academia: Chamber of Time	9961	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Mercy Lewis	9961	Category:Witch trials > Accusers in witch trials > Accusers in the Salem witch trials
en	Rosen Garten Saga	9954	Category:Witchcraft > Curses > Fiction about curses
de	Pari (Mythologie)	9952	Kategorie:Sagengestalt > Fabelwesen > Weibliches Fabelwesen
en	The Greek Princess and the Young Gardener	9950	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
ja	十二天将	9948	Category:陰陽道 > 陰陽道の神
fr	Lady Death	9938	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
es	Tomás Maldonado Cera	9935	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
fr	Formicarius (sorcellerie)	9930	Catégorie:Sorcellerie > Sorcellerie féminine
de	Legendäre böhmische Herrscher	9922	Kategorie:Sagengestalt > Mythischer Herrscher
en	Akanthos curse tablet	9921	Category:European witchcraft
fr	Bibi et Tina : Complètement ensorcelée !	9913	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
de	Der Flaschenkobold	9907	Kategorie:Hexerei > Teufelspakt
en	Elizabeth Clarke	9906	Category:Witch trials > Witch trials in Europe > Witch trials in England
sv	Marit Anundsdotter	9902	Kategori:Häxprocesser > Personer som blivit avrättade för häxeri > Personer som blivit avrättade för häxeri i Sverige
es	Billie Jenkins	9900	Categoría:Brujería > Brujos ficticios
es	Juicio por abusos rituales satánicos de Oak Hill	9894	Categoría:Brujería > Satanismo > Abuso ritual satánico
en	Battle Realms: Winter of the Wolf	9886	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
es	Isobel Gowdie	9876	Categoría:Brujería
en	Goodwife Knapp	9865	Category:People executed for witchcraft > American people executed for witchcraft
en	Witchaven II: Blood Vengeance	9858	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
de	Teufelspakt	9855	Kategorie:Hexenverfolgung
es	Maria Laura Mainetti	9855	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
ko	단군 신화	9855	분류:무속 > 무불습합
de	Rüdiger von Bechelaren	9851	Kategorie:Sagengestalt
sv	Häxprocessen i Bamberg	9851	Kategori:Häxprocesser > Häxprocesser i Europa > Häxprocesser i Tyskland
zh	萨巴依	9841	Category:薩滿教
en	Falling Angel	9836	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
en	Potionomics	9834	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
de	Bibi & Tina: Tohuwabohu Total	9830	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
de	Julbock	9828	Kategorie:Sagengestalt
it	Fay D. Florite	9824	Categoria:Stregoneria > Stregoni immaginari
en	Chrysanthemum taboo	9822	Category:Witchcraft > Curses > Taboo
en	Jonathan Moulton	9815	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
en	Samuel Willard	9813	Category:Witchcraft > Witch hunting > Critics of witch hunting
de	Die Töchter Satans	9809	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
en	Ura Naha Khongjomba and Pidonnu	9805	Category:Witchcraft > Witchcraft in folklore and mythology > Epic cycles of incarnations
ja	美しき女教師	9799	Category:魔女 > 魔女を題材とした作品
de	Oudewater	9793	Kategorie:Hexenverfolgung
en	The Keltiad	9791	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
en	The Seeing Stone	9780	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
en	Hawk of May	9776	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
it	Giovanni Zatara	9774	Categoria:Stregoneria > Stregoni immaginari
sv	Häxhammaren	9770	Kategori:Häxprocesser
en	Margaret Aitken (witch)	9769	Category:People executed for witchcraft > Scottish people executed for witchcraft
en	Usog	9760	Category:Witchcraft > Curses
en	Betty Parris	9753	Category:Witch trials > Accusers in witch trials > Accusers in the Salem witch trials
de	Dietrich Flade	9751	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
sv	Häxprocessen i Ellwangen	9751	Kategori:Häxprocesser > Häxprocesser i Europa > Häxprocesser i Tyskland
zh	青衣戲棚	9748	Category:中國民間信仰 > 香港民間信仰
fr	Procès des sorcières féeriques de Sicile	9747	Catégorie:Sorcellerie > Sorcellerie féminine
en	Francis Dane	9744	Category:Witchcraft > Witch hunting > Critics of witch hunting
fr	Françoise Bonvin	9737	Catégorie:Sorcellerie > Procès de sorcellerie > Procès de sorcellerie en Suisse
fr	Madam Satan (personnage)	9736	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
fr	Nurse Witch Komugi	9731	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
fr	Schtroumpf à lunettes	9730	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
fr	Simon le Magicien	9726	Catégorie:Sorcellerie > Magicien ou sorcier de légende
en	Joan Wright	9725	Category:Witch trials > Witch trials in North America
de	Hydra (Mythologie)	9721	Kategorie:Sagengestalt > Fabelwesen > Fabelwesen (Heraldik)
it	Klarion	9717	Categoria:Stregoneria > Stregoni immaginari
de	Meermönch	9709	Kategorie:Sagengestalt > Fabelwesen > Fabeltier
de	Johann Adam von Bicken	9708	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
ja	山童	9701	Category:日本の妖怪 > 河童
fr	Sally la petite sorcière	9697	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
ja	よいご旅行を	9692	Category:魔女 > 魔女を題材とした作品
de	Hexen (1954)	9690	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Gingerbread (Buffy the Vampire Slayer)	9690	Category:Witchcraft > Fiction about witchcraft > Witch hunting in fiction
en	Katharina Henot	9684	Category:Witch trials > Witch trials in Europe > Witch trials in Germany
ko	메틸렌디옥시메스암페타민	9681	분류:샤머니즘 > 의식용 환각제
en	Skuld (princess)	9678	Category:Witchcraft > Witchcraft in folklore and mythology > Witches in folklore
ja	大庭景親	9677	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
en	Veronika of Desenice	9676	Category:Witch trials > People accused of witchcraft
fr	Blair Witch 2 : Le Livre des ombres	9674	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Archibald Douglas, 8th Earl of Angus	9670	Category:Witch trials > Witch trials in Europe > Witch trials in Scotland
en	A Babysitter's Guide to Monster Hunting	9668	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Andreas Koch (Pfarrer)	9665	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
ja	桃源郷へようこそ!	9665	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
en	Man Proposes, God Disposes	9662	Category:Witchcraft > Curses
en	Skern Runestone	9661	Category:Witchcraft > Curses > Runestones with curses
de	Wolf Weber (Darmstadt)	9659	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
zh	魏華存	9657	Category:中國民間信仰 > 中国人物神
fr	Friedrich Spee von Langenfeld	9654	Catégorie:Sorcellerie > Étude de la sorcellerie
ja	おぼこい魔女はまじわりたい!	9653	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
fr	Chamanisme en Sibérie	9650	Catégorie:Sorcellerie > Sorcellerie par lieu > Sorcellerie en Asie
it	Libro del comando	9647	Categoria:Stregoneria > Opere letterarie sulla stregoneria
de	Anna Spiekermann	9641	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
